Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
Campaign Monitor,https://www.crunchbase.com/organization/campaign-monitor,"Email Marketing, Marketing, Product Design, Software","Nashville, Tennessee, United States",Campaign Monitor is an email marketing platform that allows marketers to take control of their email program.,250000000,USD,250000000,Series A,"1,614",1,http://www.linkedin.com/company/campaign-monitor,http://www.campaignmonitor.com,"Ben Richardson, Dave Greiner"
1Password,https://www.crunchbase.com/organization/1password,"Computer, Cyber Security, Enterprise Software, Identity Management, Mobile Devices, Network Security, Privacy, Security, Software","Toronto, Ontario, Canada","1Password is a secure password manager, providing businesses a safe way to share passwords, credit cards, and documents.",200000000,USD,200000000,Series A,"1,174",1,https://www.linkedin.com/company/1password/,https://1password.com,"Dave Teare, Roustem Karimov"
Bright Machines,https://www.crunchbase.com/organization/bright-machines,"Computer, Information Technology, Machine Learning, Manufacturing, Robotics, Software","San Francisco, California, United States","Bright Machines brings together flexible factory robots with intelligent software, production data and machine learning.",179000000,USD,179000000,Series A,"27,640",1,https://www.linkedin.com/company/bright-machines/,https://www.brightmachines.com,Amar Hanspal
Kernel,https://www.crunchbase.com/organization/kernel-co,"Hardware, Intelligent Systems, Neuroscience, Software","Los Angeles, California, United States","Kernel's custom built, non-invasive brain interface aquires neural signal similar in quality to fMRI, MEG & ECoG, as easy to use as EEG.",100000000,USD,100000000,Seed,"5,664",1,https://www.linkedin.com/company/kernel/,http://kernel.co/,Bryan Johnson
QOMPLX,https://www.crunchbase.com/organization/fractal-industries-inc,"Artificial Intelligence, Machine Learning, Software","Reston, Virginia, United States",QOMPLX applies artificial intelligence to solve complex and real-world problems at scale.,78600000,USD,78600000,Series A,"2,246",4,https://www.linkedin.com/company/qomplx/,https://www.qomplx.com,"Andrew Sellers, Jason Crabtree"
Pollinate Networks,https://www.crunchbase.com/organization/pollinate-international,"Banking, Financial Services, FinTech, Software","London, England, United Kingdom",Pollinate Networks is a platform that works with a bank's legacy systems to create data-driven experiences for merchants and consumers.,60000000,GBP,77631212,Series A,"8,730",1,https://www.linkedin.com/company/pollinated/,https://pollinate.co.uk/,"Al Lukies, FIONA ROACH CANNING, Giovanni Salas, Jonathan Hughes, TIM JOSLYN"
Katch,https://www.crunchbase.com/organization/katch,"Advertising, Advertising Platforms, Android, Auctions, Mobile, Software","El Segundo, California, United States",Katch is the only software platform that enables brands to engage and monetize every buyer who comes to their website.,70000000,USD,70000000,Series A,"99,121",1,http://www.linkedin.com/company/vantage-media,http://www.katch.com,Mark DiPaola
Antuit,https://www.crunchbase.com/organization/antuit,"Artificial Intelligence, Consumer Goods, Industrial Manufacturing, Management Consulting, Retail, Software","Frisco, Texas, United States","AI solutions leader in the Retail, Consumer Goods & Manufacturing industries.",56000000,USD,56000000,Series A,"4,826",2,https://www.linkedin.com/company/antuit,https://www.antuit.com,"Arijit Sengupta, Kumar Ritesh, Neeraj Bhargava"
Nuvia,https://www.crunchbase.com/organization/nuvia-ed93,"Data Center, Electronics, Information Technology, Semiconductor, Software","Santa Clara, California, United States",Nuvia develops processors intended to create high-performance silicon design for a compute-intensive world.,53000000,USD,53000000,Series A,"3,520",1,https://www.linkedin.com/company/nuviainc/,https://nuviainc.com/,"Gerard Williams III, John Bruno, Manu Gulati"
Outrider,https://www.crunchbase.com/organization/outrider,"Autonomous Vehicles, Industrial Automation, Robotics, Software","Golden, Colorado, United States",Autonomous yard operations for logistics hubs,53000000,USD,53000000,Series A,"4,547",1,https://www.linkedin.com/company/outridertech/,http://www.outrider.ai,Andrew Smith
